treatment_id,label_zh,pruning,fertilizer_g,note
C0,對照,0,0,不修剪不施肥(對照組)
P1,修剪矮化,1,0,僅修剪
F150,施肥150g,0,150,僅施肥;有機肥+矽肥10:1
P1F150,修剪+施肥150g,1,150,修剪並施肥
